METADATA:
Database:,FAA_DAILY
Id:,KPHL
Name:,PHILADELPHIA
County:,PHILADELPHIA
State:,PA
Lat:,39.870
Lon:,-75.240
Elev (ft):,27.0
Start_date:,1948-02-01
End_date:,2017-07-23


Start Date:, 1950-01-01
End Date:, 2016-12-31
Variables Requested:, date,num_obs,temp_avg,temp_max,temp_min,dptemp_avg,precip24hr,wgust_max,rh_avg,wspd_avg,altimeter_avg,wdir_avg,wspd_max
Date (EST),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),24 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
1950-02-01,24,34.63,41.00,30.90,31.71,0.36,,88.67,9.37,,126.67,15.00,
1950-02-02,24,38.01,44.10,33.10,36.16,0.46,,92.79,7.79,,149.13,16.10,
1950-02-03,24,36.79,43.00,33.10,24.34,0.03,,61.46,13.63,,294.17,19.60,
1950-02-04,24,33.23,42.10,27.00,19.76,,,58.71,11.77,,259.58,17.30,
1950-02-05,24,33.48,39.90,27.00,18.59,,,54.17,5.49,,254.29,10.40,
1950-02-06,24,35.07,42.10,28.00,30.44,0.10,,83.00,6.01,,202.11,11.50,
1950-02-07,24,40.60,43.00,36.00,36.11,,,83.71,6.16,,252.22,15.00,
1950-02-08,24,27.63,37.00,18.00,14.76,,,57.50,12.34,,95.42,18.40,
1950-02-09,24,39.54,50.00,28.00,37.22,0.57,,90.83,10.14,,151.30,19.60,
1950-02-10,24,41.18,48.00,37.00,35.38,0.13,,79.46,9.75,,172.92,16.10,
1950-02-11,24,41.84,51.10,37.90,36.92,0.03,,84.25,6.78,,240.00,12.70,
1950-02-12,24,41.16,50.00,30.90,29.98,,,68.17,4.88,,208.75,10.40,
1950-02-13,24,38.75,45.00,35.10,34.76,0.26,,85.79,12.57,,62.17,19.60,
1950-02-14,24,38.31,41.00,34.00,36.77,0.71,,93.67,19.10,,66.25,25.30,
1950-02-15,24,41.97,43.00,41.00,39.90,0.52,,92.04,14.30,,127.08,25.30,
1950-02-16,24,39.70,42.10,35.10,30.83,,,70.46,8.84,,292.08,18.40,
1950-02-17,24,37.18,41.00,35.10,26.68,,,65.75,7.46,,307.27,12.70,
1950-02-18,24,37.10,45.00,32.00,24.43,,,60.08,6.78,,286.09,10.40,
1950-02-19,24,37.99,42.10,34.00,28.20,0.01,,68.54,12.20,,230.42,19.60,
1950-02-20,24,22.02,36.00,14.00,1.36,,,40.08,21.02,,315.00,29.90,
1950-02-21,24,16.65,27.00,10.00,-5.28,,,36.38,7.79,,299.00,16.10,
Date (EST),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),24 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
1950-02-22,24,31.18,36.00,27.00,25.40,0.05,,79.88,8.03,,75.42,15.00,
1950-02-23,24,33.76,37.00,32.00,27.94,0.12,,80.88,13.97,,204.35,33.40,
1950-02-24,24,38.23,51.10,28.90,24.84,,,59.92,14.06,,225.42,23.00,
1950-02-25,24,30.32,46.00,23.00,13.13,,,48.33,15.84,,297.50,34.50,
1950-02-26,24,25.57,28.90,19.90,8.83,,,48.25,12.30,,317.92,21.90,
1950-02-27,24,20.27,27.00,12.90,5.27,0.02,,52.04,16.99,,309.58,26.50,
1950-02-28,24,25.60,36.00,17.10,8.78,0.01,,48.83,8.21,,262.00,19.60,
1950-03-01,24,40.11,48.00,33.10,28.27,0.14,,64.50,12.68,,255.22,32.20,
1950-03-02,24,26.25,37.00,21.00,7.85,0.01,,45.79,19.82,,296.25,40.30,
1950-03-03,24,20.13,30.90,12.90,-0.70,,,40.17,15.65,,280.42,26.50,
1950-03-04,24,24.36,34.00,14.00,3.69,,,40.67,6.64,,291.30,11.50,
1950-03-05,24,35.61,55.90,21.90,21.62,,,59.71,8.07,,213.53,21.90,
1950-03-06,24,41.13,46.90,37.00,20.53,,,47.21,14.17,,294.17,25.30,
1950-03-07,24,32.46,45.00,21.00,10.74,,,40.21,9.46,,182.27,15.00,
1950-03-08,24,49.00,66.00,36.00,44.41,0.11,,84.38,13.87,,115.00,33.40,
1950-03-09,24,33.25,53.10,26.10,22.41,0.55,,65.29,25.08,,278.75,34.50,
1950-03-10,24,29.31,37.90,23.00,9.35,,,42.75,14.12,,278.33,19.60,
1950-03-11,24,34.52,48.00,25.00,20.74,0.11,,57.96,10.05,,179.13,23.00,
1950-03-12,24,45.66,57.90,41.00,41.72,0.24,,86.67,7.07,,220.48,16.10,
1950-03-13,24,38.45,46.00,36.00,35.96,0.86,,90.42,12.20,,89.58,18.40,
Date (EST),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),24 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
1950-03-14,24,35.53,42.10,30.00,21.80,0.05,,59.25,15.32,,305.42,25.30,
1950-03-15,24,39.38,55.90,28.90,21.13,,,50.58,12.82,,246.25,29.90,
1950-03-16,24,33.88,46.90,28.00,15.75,,,46.71,11.34,,110.00,16.10,
1950-03-17,24,35.67,46.00,30.00,16.15,,,44.96,10.05,,262.92,17.30,
1950-03-18,24,38.33,44.10,33.10,23.00,0.01,,54.63,23.88,,253.33,29.90,
1950-03-19,24,31.30,43.00,21.00,12.74,,,45.63,13.11,,326.67,20.70,
1950-03-20,24,37.59,52.00,28.00,21.28,,,53.08,5.87,,211.36,15.00,
1950-03-21,24,41.26,43.00,37.90,36.33,0.91,,82.71,15.70,,152.08,19.60,
1950-03-22,24,40.11,43.00,39.00,35.92,,,84.50,11.62,,130.83,18.40,
1950-03-23,24,40.60,43.00,37.90,36.94,1.14,,86.42,19.28,,177.08,27.60,
1950-03-24,24,44.95,55.00,37.90,32.80,0.01,,63.63,17.28,,286.67,25.30,
1950-03-25,24,44.27,50.00,37.90,34.62,0.01,,69.17,10.09,,285.00,25.30,
1950-03-26,24,41.56,52.00,34.00,30.05,0.01,,65.04,6.03,,238.18,12.70,
1950-03-27,24,45.08,57.00,39.00,42.46,0.06,,90.21,8.27,,67.92,12.70,
